y/y0.5,U/Uc_xh0,U/Uc_xh2,U/Uc_xh4,U/Uc_xh6,U/Uc_xh8,U/Uc_xh10
-4.86207,,-0.0260636,-0.0374906,-0.0520582,-0.0718905,-0.0911216
-4.82759,,-0.0253522,-0.0368989,-0.0519501,-0.0718967,-0.0898526
-4.7931,,-0.0255146,-0.0367843,-0.0518862,-0.0718695,-0.0886968
-4.75862,,-0.0260721,-0.0373294,-0.0517197,-0.0716633,-0.0876224
-4.72414,,-0.025582,-0.0371462,-0.0515712,-0.0714975,-0.0863922
-4.68966,,-0.0251025,-0.0365854,-0.0515349,-0.0714238,-0.0850038
-4.65517,,-0.0256835,-0.0369127,-0.0514326,-0.0712125,-0.0836297
-4.62069,,-0.0258517,-0.0372647,-0.0512182,-0.0709273,-0.0822369
-4.58621,,-0.0251149,-0.0366959,-0.0510626,-0.0707817,-0.0807531
-4.55172,,-0.0251259,-0.0364489,-0.0509405,-0.0706062,-0.0792318
-4.51724,,-0.0257811,-0.0370009,-0.0507252,-0.0702204,-0.0776646
-4.48276,,-0.0254038,-0.0369315,-0.0505213,-0.0698337,-0.0759384
-4.44828,,-0.0247725,-0.0363307,-0.0504295,-0.0695573,-0.0739226
-4.41379,,-0.0252844,-0.0365924,-0.0503286,-0.0691867,-0.0716867
-4.37931,,-0.0256299,-0.0370828,-0.0501767,-0.0687471,-0.0693388
-4.34483,,-0.0248873,-0.0366389,-0.0501019,-0.0683933,-0.0667764
-4.31034,,-0.0247123,-0.0363321,-0.0500759,-0.0680522,-0.0639801
-4.27586,,-0.0254206,-0.036904,-0.0499692,-0.0675669,-0.0610598
-4.24138,,-0.0251784,-0.0369993,-0.0498466,-0.0670336,-0.057953
-4.2069,,-0.024399,-0.0363965,-0.04981,-0.0665099,-0.0546123
-4.17241,,-0.0247837,-0.0365391,-0.049753,-0.0657751,-0.0512262
-4.13793,,-0.0252938,-0.0370852,-0.0496271,-0.064852,-0.0478907
-4.10345,,-0.0246016,-0.036732,-0.0495525,-0.063942,-0.0443757
-4.06897,,-0.024234,-0.0363118,-0.049529,-0.0629941,-0.0407789
-4.03448,,-0.0249624,-0.036803,-0.0494441,-0.0618383,-0.037302
-4,,-0.0249166,-0.0369924,-0.0493475,-0.0606159,-0.0339062
-3.96552,,-0.0240508,-0.0363833,-0.0493281,-0.0594114,-0.0303315
-3.93103,,-0.0242545,-0.0363958,-0.0493204,-0.0580061,-0.0266329
-3.89655,,-0.0248881,-0.0369703,-0.0492714,-0.0563899,-0.0229362
-3.86207,,-0.02428,-0.0367432,-0.0492709,-0.0548103,-0.0191639
-3.82759,,-0.0237154,-0.0362923,-0.0493157,-0.0531844,-0.0151742
-3.7931,,-0.0243995,-0.0367381,-0.0493011,-0.0512357,-0.0109699
-3.75862,,-0.0245666,-0.0370532,-0.0492707,-0.0490688,-0.00663973
-3.72414,,-0.0236971,-0.0365298,-0.0493081,-0.0468416,-0.00210927
-3.68966,,-0.0237133,-0.0364589,-0.0493103,-0.0444793,0.00262383
-3.65517,,-0.0244376,-0.0370318,-0.0492102,-0.0419125,0.00770087
-3.62069,,-0.0240009,-0.0369209,-0.0491079,-0.0392275,0.0132825
