x/h=0.2,,,,x/h=1,,,,x/h=3,,,,x/h=10,,,,x/h=20,,,x/h=30,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
y/y0.5,U/Uc,,,y/y0.5,U/Uc,,,y/y0.5,U/Uc,,,y/y0.5,U/Uc,,,y/y0.5,U/Uc,,y/y0.5,U/Uc
,,,,,,,,,,,,-2.85012,0.03915,,,0.69075,0.67722,,0.59994,0.72112
,,,,,,,,,,,,-2.9484,0.03804,,,0.74389,0.65796,,0.59362,0.72465
,,,,,,,,,,,,,,,,0.79702,0.62676,,0.58731,0.73696
,,,,,,,,,,,,,,,,0.85016,0.59659,,0.58099,0.73156
,,,,,,,,,,,,,,,,0.90329,0.5582,,0.57468,0.74926
,,,,,,,,,,,,,,,,0.95643,0.52928,,0.56836,0.7538
,,,,,,,,,,,,,,,,0.96706,0.52311,,0.56205,0.75538
,,,,,,,,,,,,,,,,0.97768,0.52248,,0.55573,0.75855
,,,,,,,,,,,,,,,,0.98831,0.50226,,0.54942,0.75703
,,,,,,,,,,,,,,,,0.99894,0.50151,,0.5431,0.76653
,,,,,,,,,,,,,,,,1.00956,0.49746,,0.53679,0.77186
,,,,,,,,,,,,,,,,1.02019,0.49123,,0.53047,0.77855
,,,,,,,,,,,,,,,,1.03082,0.49129,,0.52416,0.77085
,,,,,,,,,,,,,,,,1.04145,0.4794,,0.51784,0.76934
,,,,,,,,,,,,,,,,1.05207,0.47694,,0.51153,0.77913
,,,,,,,,,,,,,,,,1.0627,0.46769,,0.50521,0.78093
,,,,,,,,,,,,,,,,1.07333,0.46015,,0.49889,0.78884
,,,,,,,,,,,,,,,,1.08395,0.45906,,0.49258,0.79144
,,,,,,,,,,,,,,,,1.09458,0.45575,,0.48626,0.8018
,,,,,,,,,,,,,,,,1.10521,0.44815,,0.47995,0.80439
,,,,,,,,,,,,,,,,1.11583,0.43952,,0.47363,0.81072
,,,,,,,,,,,,,,,,1.12646,0.43923,,0.44206,0.82368
,,,,,,,,,,,,,,,,1.13709,0.41032,,0.41048,0.84577
,,,,,,,,,,,,,,,,1.14772,0.419,,0.37891,0.86448
,,,,,,,,,,,,,,,,1.15834,0.41575,,0.34733,0.87643
,,,,,,,,,,,,,,,,1.16897,0.40986,,0.31576,0.89831
,,,,,,,,,,,,,,,,1.1796,0.39398,,0.28418,0.90212
,,,,,,,,,,,,,,,,1.19022,0.38741,,0.2526,0.92731
,,,,,,,,,,,,,,,,1.20085,0.39015,,0.22103,0.9376
,,,,,,,,,,,,,,,,1.21148,0.38815,,0.18945,0.95329
,,,,,,,,,,,,,,,,1.2221,0.39021,,0.15788,0.97006
,,,,,,,,,,,,,,,,1.23273,0.37684,,0.1263,0.97373
,,,,,,,,,,,,,,,,1.24336,0.37438,,0.09473,0.97927
,,,,,,,,,,,,,,,,1.25399,0.36295,,0.06315,0.99374
,,,,,,,,,,,,,,,,1.26461,0.35729,,0.03158,1.00079
,,,,,,,,,,,,,,,,1.27524,0.36341,,0,1
,,,,,,,,,,,,,,,,1.28587,0.35861,,-0.02731,1.00453
,,,,,,,,,,,,,,,,1.29649,0.35752,,-0.05463,1.0108
,,,,,,,,,,,,,,,,1.30712,0.34015,,-0.08194,0.99892
,,,,,,,,,,,,,,,,1.31775,0.3329,,-0.10926,1.0131
,,,,,,,,,,,,,,,,1.32837,0.33358,,-0.13657,1.0013
,,,,,,,,,,,,,,,,1.339,0.3253,,-0.16389,1.00007
,,,,,,,,,,,,,,,,1.34963,0.32221,,-0.1912,0.99532
